City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Mahebourg,MU,2022-01-25 19:17:47,-20.4081,57.7,77.29,73,40,11.5
127,Bijie,CN,2022-01-25 19:17:47,27.3125,105.2942,37.54,97,100,4.43
128,Boardman,US,2022-01-25 19:17:47,41.0242,-80.6628,27.12,51,95,5.01
129,Grajewo,PL,2022-01-25 19:17:48,53.6473,22.4554,34.18,98,100,9.15
130,Sepolno Krajenskie,PL,2022-01-25 19:17:48,53.452,17.5317,38.98,93,48,7.58
131,Salalah,OM,2022-01-25 19:17:48,17.0151,54.0924,69.89,56,0,5.75
132,Vikulovo,RU,2022-01-25 19:17:49,56.8167,70.6107,-2.31,100,97,2.62
133,Port Elizabeth,ZA,2022-01-25 19:17:49,-33.918,25.5701,71.1,88,100,6.91
134,Qaanaaq,GL,2022-01-25 19:17:49,77.484,-69.3632,-10.32,55,57,7.43
135,Northam,GB,2022-01-25 19:17:49,51.0333,-4.2167,43.02,85,100,3.24
136,Digby,CA,2022-01-25 19:17:50,44.6169,-65.7655,38.71,98,100,13.11
137,Yulara,AU,2022-01-25 19:18:50,-25.2406,130.9889,80.44,54,85,6.91
138,Kunming,CN,2022-01-25 19:18:50,25.0389,102.7183,46.33,93,75,11.18
139,Hambantota,LK,2022-01-25 19:18:51,6.1241,81.1185,73.15,82,62,9.44
140,Upernavik,GL,2022-01-25 19:18:51,72.7868,-56.1549,7.38,90,100,8.01
141,Belaya Gora,RU,2022-01-25 19:18:51,68.5333,146.4167,-28.25,100,94,2.51
142,Palmer,US,2022-01-25 19:18:52,42.1584,-72.3287,41.47,59,75,1.99
143,Cherskiy,RU,2022-01-25 19:18:52,68.75,161.3,-41.44,100,94,5.21
144,San Cristobal,VE,2022-01-25 19:18:52,7.7669,-72.225,80.78,37,100,2.13
145,Emba,KZ,2022-01-25 19:18:52,48.8264,58.1442,-3.19,99,57,3.98
146,Calbuco,CL,2022-01-25 19:18:53,-41.768,-73.1273,65.41,70,0,10.49
147,Hay River,CA,2022-01-25 19:16:52,60.8156,-115.7999,15.78,79,75,16.11
148,Hasaki,JP,2022-01-25 19:18:53,35.7333,140.8333,37.8,89,100,13.71
149,Tasiilaq,GL,2022-01-25 19:18:53,65.6145,-37.6368,19.56,92,32,7.2
150,Mizdah,LY,2022-01-25 19:18:54,31.4451,12.9801,41.38,63,3,7.63
151,Khawhai,IN,2022-01-25 19:18:54,23.3667,93.1167,44.4,93,42,1.1
152,Hami,CN,2022-01-25 19:18:54,42.8,93.45,24.26,49,100,3.6
153,Chimbote,PE,2022-01-25 19:16:31,-9.0853,-78.5783,76.3,70,99,11.9
154,Willmar,US,2022-01-25 19:17:36,45.1219,-95.0433,-0.38,77,7,8.05
155,Cabra,ES,2022-01-25 19:18:55,37.4725,-4.4421,51.24,65,38,6.2
156,Mataura,NZ,2022-01-25 19:18:55,-46.1927,168.8643,54.48,90,79,1.61
157,Barrow,US,2022-01-25 19:18:55,71.2906,-156.7887,5.02,78,100,23.02
158,Wilmington Island,US,2022-01-25 19:18:56,32.0036,-80.9737,57.29,60,100,2.93
159,Fairbanks,US,2022-01-25 19:18:45,64.8378,-147.7164,23.09,75,100,5.01
160,Barahona,DO,2022-01-25 19:18:56,18.2085,-71.1008,84.02,65,20,16.11
161,Batemans Bay,AU,2022-01-25 19:18:56,-35.7167,150.1833,66.9,94,17,2.51
162,Serafimovich,RU,2022-01-25 19:18:57,49.5786,42.736,12.79,97,92,4.72
163,Omboue,GA,2022-01-25 19:18:57,-1.5746,9.2618,77.56,87,85,4.43
164,Darnah,LY,2022-01-25 19:18:57,32.767,22.6367,46.72,68,100,10.22
165,Mar Del Plata,AR,2022-01-25 19:09:09,-38.0023,-57.5575,82.42,81,75,17.0
166,Rongcheng,CN,2022-01-25 19:18:58,30.634,117.8517,41.34,95,100,4.59
167,Batsfjord,NO,2022-01-25 19:18:58,70.6345,29.7185,30.13,83,98,29.17
168,Eydhafushi,MV,2022-01-25 19:18:58,5.1033,73.0708,80.33,63,81,9.78
169,Rio Claro,BR,2022-01-25 19:16:29,-22.4114,-47.5614,87.62,63,100,4.76
170,Hailey,US,2022-01-25 19:18:59,43.5196,-114.3153,26.91,68,0,0.0
171,Bambous Virieux,MU,2022-01-25 19:18:59,-20.3428,57.7575,77.25,73,40,11.5
172,East London,ZA,2022-01-25 19:18:59,-33.0153,27.9116,73.87,78,46,2.46
173,Torbay,CA,2022-01-25 19:18:59,47.6666,-52.7314,32.76,85,75,8.05
174,Ossora,RU,2022-01-25 19:19:00,59.2353,163.0719,-12.8,91,100,7.74
175,Airai,TL,2022-01-25 19:19:00,-8.9266,125.4092,61.09,86,69,2.95
176,Campbell River,CA,2022-01-25 19:19:00,50.0163,-125.2446,34.59,100,100,2.3
177,Sokoto,NG,2022-01-25 19:19:01,13.0609,5.239,70.93,12,0,10.71
178,Ziway,ET,2022-01-25 19:19:01,7.9333,38.7167,67.32,46,54,18.79
179,Trairi,BR,2022-01-25 19:19:02,-3.2778,-39.2689,84.65,64,53,12.21
180,Joensuu,FI,2022-01-25 19:20:02,62.6012,29.7632,16.29,90,0,10.36
181,Srednekolymsk,RU,2022-01-25 19:20:03,67.45,153.6833,-29.94,99,97,6.67
182,Kovdor,RU,2022-01-25 19:20:03,67.5662,30.4758,14.14,91,12,6.53
183,Kavaratti,IN,2022-01-25 19:19:16,10.5669,72.642,77.88,55,65,7.4
184,Olafsvik,IS,2022-01-25 19:20:03,64.8945,-23.7142,30.7,86,100,32.66
185,Nanortalik,GL,2022-01-25 19:20:04,60.1432,-45.2371,24.75,86,100,8.79
186,Palana,RU,2022-01-25 19:20:04,59.1167,159.9667,-11.36,88,84,4.65
187,Dulce Nombre De Culmi,HN,2022-01-25 19:20:04,15.1,-85.5333,93.43,28,0,5.66
188,Codrington,AU,2022-01-25 19:20:04,-38.2667,141.9667,67.93,61,6,8.12
189,Ust-Nera,RU,2022-01-25 19:20:05,64.5667,143.2,-21.6,98,100,2.42
190,Seymchan,RU,2022-01-25 19:20:05,62.8833,152.4333,-37.39,98,100,1.74
191,Clyde River,CA,2022-01-25 19:20:05,70.4692,-68.5914,-5.57,84,100,20.71
