City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
470,Quang Ngai,VN,69.69,overcast clouds,15.1167,108.8,Central Hotel
473,Inhambane,MZ,78.78,few clouds,-23.865,35.3833,Oceano
475,Saint-Joseph,RE,79.16,moderate rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
476,Castilho,BR,76.26,light rain,-20.8722,-51.4875,D S Oliveira Hotel
480,Matara,LK,72.46,clear sky,5.9485,80.5353,Amaloh Boutique Resort
488,Manokwari,ID,77.52,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
489,Paracale,PH,74.98,moderate rain,14.2804,122.7881,Waling Waling center Paracale
494,Ewa Beach,US,76.01,clear sky,21.3156,-158.0072,Uncle Junior Robert
495,Hays,US,64.53,overcast clouds,30.0502,-98.0336,Sinya on Lone Man Creek
501,Itoman,JP,64.78,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
502,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
506,Odweyne,SO,66.94,overcast clouds,9.4092,45.064,Eng Hiirey House
508,Mbaiki,CF,75.36,few clouds,3.8678,17.9892,Motel MBM
509,Menongue,AO,66.65,overcast clouds,-14.6585,17.691,Ritz Lauca
510,Dilla,ET,68.49,overcast clouds,6.41,38.31,Afomiya Pension
514,Stephenville,US,65.25,broken clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
515,Bichena,ET,61.66,scattered clouds,10.45,38.2,Dagm Tesfa Hotel ዳግም ተስፋ ሆቴል
516,Hualmay,PE,75.85,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
521,Wanning,CN,67.53,overcast clouds,18.8003,110.3967,Paradise Hotel
530,Coromandel,BR,74.89,overcast clouds,-18.4733,-47.2003,Hotel Dona Adélia
532,Sorong,ID,79.61,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
535,Marawi,PH,65.64,overcast clouds,7.9986,124.2928,Derogongan Residence
537,Port Moresby,PG,72.82,light rain,-9.4431,147.1797,Lamana Hotel (Port Moresby)
540,Trincomalee,LK,77.56,clear sky,8.5711,81.2335,Welcombe Hotel
542,Sonoita,MX,64.53,overcast clouds,31.85,-112.8333,Santa Ana
544,Ouesso,CG,78.55,overcast clouds,1.6136,16.0517,ABENIE Hotel
547,Doha,QA,66.18,clear sky,25.2867,51.5333,Movenpick Hotel Doha
548,Sibiti,CG,70.92,light rain,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
549,New Albany,US,61.92,overcast clouds,38.2856,-85.8241,Hampton Inn New Albany Louisville West
557,Pemangkat,ID,76.91,light rain,1.1667,108.9667,Ramah Kost KITA
558,Nago,JP,64.83,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
564,Osmena,PH,79.29,overcast clouds,10.5208,119.9258,Arjemarkyza Lodge
565,Banyo,CM,71.04,scattered clouds,6.75,11.8167,Motel JOMBA
567,Lata,PT,61.21,clear sky,40.1629,-8.3327,Casa Maquia
573,Zambezi,ZM,68.45,overcast clouds,-13.5432,23.1047,Royal Kutachika Lodge
579,Shakawe,BW,66.27,broken clouds,-18.3667,21.85,Ditlhapi Guest House
582,Rio Pardo De Minas,BR,78.96,overcast clouds,-15.6097,-42.5397,Hotel Oásis Cidade Alta
587,Destin,US,70.65,clear sky,30.3935,-86.4958,The Inn on Destin Harbor
595,Chilca,PE,77.16,overcast clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
599,Teguise,ES,64.62,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
600,Okato,NZ,67.91,overcast clouds,-39.2,173.8833,Goodin Country Garden
602,Las Cruces,US,63.55,clear sky,32.3123,-106.7783,Days End Lodge
605,Duartina,BR,74.84,overcast clouds,-22.4144,-49.4039,Hotel Mattos Guimaro
